n_agents,mpc_n_t,control_strategy,solution_time_MEAN,solution_time_STD,cost_val_MEAN,cost_val_STD,avg_goal_dist_MEAN,avg_goal_dist_STD
10,2,micro,0.11052923997243246,0.004596435279576613,260.0310004384808,1.1368683772161603e-13,4.0002579132120415,1.7763568394002505e-15
10,2,mesocoup,0.12231952349344889,0.005596078428855293,26.00305274805915,1.7763568394002505e-14,4.04439902442435,0.0
10,4,micro,0.16157031853993734,0.0045607396775265594,218.878707318142,0.0,0.6191764503027422,0.0
10,4,mesocoup,0.16697816848754882,0.004773210343500209,21.887470598474476,1.7763568394002505e-14,0.809186509885837,2.220446049250313e-16
10,8,micro,0.2631035327911377,0.0044663494180096405,217.77482806246616,1.1368683772161603e-13,0.01838638114329404,1.0408340855860843e-17
10,8,mesocoup,0.26089026927948,0.006925576636458021,21.777458339465273,1.0658141036401503e-14,0.4503730971658642,2.220446049250313e-16
10,16,micro,0.6155481020609538,0.012276790105344038,217.77257193463538,0.0,0.00535464840566835,0.0
10,16,mesocoup,0.5946257829666137,0.015260398291895048,21.7772366648153,1.7763568394002505e-14,0.449833570471302,1.6653345369377348e-16
100,2,micro,3.6692994356155397,0.2894530181183281,2600.4366570453117,9.094947017729282e-13,4.0003634800375325,1.7763568394002505e-15
100,2,mesocoup,0.788802695274353,0.09572755535986677,26.00381688034337,1.7763568394002505e-14,4.043364156792929,1.7763568394002505e-15
100,4,micro,4.488040161132813,0.3583141219175644,2189.0138078482105,1.3642420526593924e-12,0.6205190872461633,1.1102230246251565e-16
100,4,mesocoup,0.8756646474202474,0.08844518794892697,21.888964743260736,0.0,0.7707578970348267,3.3306690738754696e-16
100,8,micro,5.519730416933696,0.4461446052594129,2177.772911936118,4.547473508864641e-13,0.020179316078039956,3.469446951953614e-18
100,8,mesocoup,1.0436272303263345,0.08191542251474301,21.777584007307233,3.552713678800501e-15,0.4601322538480924,3.3306690738754696e-16
100,16,micro,7.16496422290802,0.5642225458340229,2177.744420102352,1.3642420526593924e-12,0.007144701600005023,2.6020852139652106e-18
100,16,mesocoup,1.2845068534215291,0.09429643586816694,21.77731914716101,7.105427357601002e-15,0.4599782311674327,3.3306690738754696e-16
1000,2,micro,15.061965258916219,0.7655123378938998,26004.069389623237,3.637978807091713e-12,4.000338733285172,1.7763568394002505e-15
1000,2,mesocoup,9.60339223543803,1.1092376846743361,26.003633798402955,1.7763568394002505e-14,4.029178308213997,1.7763568394002505e-15
1000,4,micro,23.393628112475078,0.9838014652237519,21889.74950660764,7.275957614183426e-12,0.620286746506315,2.220446049250313e-16
1000,4,mesocoup,9.587301961580913,1.0777370887287563,21.888526615456048,1.0658141036401503e-14,0.7593257781921187,4.440892098500626e-16
1000,8,micro,42.874307084083554,2.1644143752576097,21777.68213236716,0.0,0.019791615034480643,3.469446951953614e-18
1000,8,mesocoup,9.278971314430237,1.4181593973929105,21.777553881889467,0.0,0.43953501774451986,0.0
1000,16,micro,89.97407058874767,4.097315858126585,21777.4099256292,3.637978807091713e-12,0.006756771141008726,8.673617379884035e-19
1000,16,mesocoup,9.85546600818634,0.5958599507340236,21.77729878925901,1.0658141036401503e-14,0.43916981468029925,2.7755575615628914e-16
2000,2,micro,50.51152623494466,2.8010004293309616,52008.20412048675,0.0,4.0003414536642765,0.0
2000,2,mesocoup,141.01631135145823,9.685422606072466,26.00371192792102,7.016047354870913e-15,4.176893087630564,2.9233530645295473e-15
2000,4,micro,88.3151532649994,4.849186126936852,43779.64846203227,7.275957614183426e-12,0.6203314982378655,1.1102230246251565e-16
2000,4,mesocoup,150.79158749580384,10.916459449913853,21.88874108426968,1.7763568394002505e-14,1.3059026076168652,7.021666937153402e-16
2000,8,micro,189.30639425913492,13.703375964943351,43555.37543768398,0.0,0.019844877017585427,1.3877787807814457e-17
2000,8,mesocoup,166.48625095685324,23.09525791665309,21.777567502901316,3.552713678800501e-15,1.148709957363125,8.881784197001252e-16
2000,16,micro,415.5159445285797,18.431174019615,43554.82736396349,3.637978807091713e-11,0.006809361162016405,4.336808689942018e-18
2000,16,mesocoup,195.96099072297415,28.44208388539914,21.777307934883574,0.0,1.148561157068145,7.137735410865528e-16
