n_agents,mpc_n_t,control_strategy,cvx_time_MEAN,cvx_time_STD,cvx_time_nocoup_MEAN,cvx_time_nocoup_STD,cvx_ops_MEAN,cvx_ops_STD,cvx_ops_nocoup_MEAN,cvx_ops_nocoup_STD,cost_val_MEAN,cost_val_STD,avg_goal_dist_MEAN,avg_goal_dist_STD,j0_val_MEAN,j0_val_STD
10,16,microcoup,0.7901448806126913,0.029356656843873716,0.7901448806126913,0.029356656843873716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.608329118826208e-29,1.6815581571897805e-44
20,16,microcoup,0.8411428292592367,0.028083295010122737,0.8411428292592367,0.028083295010122737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.062549470040446e-32,2.1895288505075267e-47
30,16,microcoup,0.926748522122701,0.03105307716917219,0.926748522122701,0.03105307716917219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.996718515166951e-31,2.627434620609032e-46
40,16,microcoup,0.9798081318537394,0.03472597193559132,0.9798081318537394,0.03472597193559132,0.0,0.0,0.0,0.0,2.208810534618833e-29,0.0,0.0,0.0,1.2735675255160855e-30,1.7516230804060213e-46
50,16,microcoup,4.835814658800761,0.4104953272716608,4.835814658800761,0.4104953272716608,0.0,0.0,0.0,0.0,3.470987982972452e-29,0.0,3.552713678800501e-15,0.0,8.11135482073165e-29,1.1210387714598537e-44
60,16,microcoup,5.936723160743713,0.5224581870478443,5.936723160743713,0.5224581870478443,0.0,0.0,0.0,0.0,3.470987982972452e-29,0.0,3.552713678800501e-15,0.0,5.482171626181222e-29,3.363116314379561e-44
70,16,microcoup,7.076538674036661,0.765483219558513,7.076538674036661,0.765483219558513,0.0,0.0,0.0,0.0,1.0570736129961558e-28,0.0,8.881784197001252e-15,0.0,2.782919247796553e-28,0.0
80,16,microcoup,8.064669275283814,0.7456880450813725,8.064669275283814,0.7456880450813725,0.0,0.0,0.0,0.0,3.518319637285712e-28,0.0,1.5987211554602254e-14,0.0,9.769450942874383e-28,5.749767999880496e-34
90,16,microcoup,8.984906991322836,0.8336998809819618,8.984906991322836,0.8336998809819618,0.0,0.0,0.0,0.0,8.1883761961941e-28,0.0,2.4868995751603507e-14,0.0,2.4275257263968272e-27,1.0761972206014595e-42
100,16,microcoup,10.134964879353841,0.9211641319177997,10.134964879353841,0.9211641319177997,0.0,0.0,0.0,0.0,1.945330992275015e-27,0.0,3.730349362740526e-14,0.0,5.5692863934635614e-27,1.4349296274686127e-42
200,16,microcoup,28.920245973269143,3.0857103067855722,28.920245973269143,3.0857103067855722,0.0,0.0,0.0,0.0,4.670924305904132e-25,0.0,5.915268275202834e-13,0.0,1.35917489627702e-24,5.510129769479473e-40
300,16,microcoup,69.16355504194895,6.106340622506611,69.16355504194895,6.106340622506611,0.0,0.0,0.0,0.0,1.1889009477285445e-23,2.938735877055719e-39,2.9825031333530205e-12,0.0,3.441949126271255e-23,0.0
400,16,microcoup,83.0885436296463,8.11829248326782,83.0885436296463,8.11829248326782,0.0,0.0,0.0,0.0,1.1835959685814595e-22,0.0,9.409362178303127e-12,0.0,3.4243625837983585e-22,6.733338861743171e-31
500,16,microcoup,82.18703587055207,7.260508373395292,82.18703587055207,7.260508373395292,0.0,0.0,0.0,0.0,7.037412784243432e-22,2.82118644197349e-37,2.2938095867175434e-11,0.0,2.035566573184493e-21,5.517039062646394e-31
600,16,microcoup,99.50801808834076,7.122832396328496,99.50801808834076,7.122832396328496,0.0,0.0,0.0,0.0,3.0170872362711074e-21,1.504632769052528e-36,4.7487347387686896e-11,0.0,8.723073573515059e-21,4.0976361160357044e-30
700,16,microcoup,98.8370149453481,4.955199120314088,98.8370149453481,4.955199120314088,0.0,0.0,0.0,0.0,1.0325775838897053e-20,4.513898307157584e-36,8.783551663782418e-11,0.0,2.984058264154613e-20,2.407412430484045e-35
800,16,microcoup,112.78168030579884,4.165703946209783,112.78168030579884,4.165703946209783,0.0,0.0,0.0,0.0,2.996529299726676e-20,1.2037062152420224e-35,1.496029966574497e-10,0.0,8.655863162558212e-20,0.0
900,16,microcoup,127.25349977811177,3.861540139889015,127.25349977811177,3.861540139889015,0.0,0.0,0.0,0.0,7.666502767284833e-20,0.0,2.3924862091462273e-10,0.0,2.2135842900231103e-19,4.81482486096809e-35
1000,16,microcoup,149.55019454161325,6.717793350789217,149.55019454161325,6.717793350789217,0.0,0.0,0.0,0.0,1.7758934797133287e-19,0.0,3.6406433423508133e-10,0.0,5.125317676046226e-19,2.8888949165808538e-34
